area_type,availability,location
Super built-up Area,19-Dec,Electronic City Phase II
Plot Area,Ready To Move,Chikka Tirupathi
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Lingadheeranahalli
Super built-up Area,Ready To Move,Kothanur
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,18-May,Old Airport Road
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Marathahalli
Plot Area,Ready To Move,Gandhi Bazar
Super built-up Area,18-Feb,Whitefield
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,7th Phase JP Nagar
Built-up Area,Ready To Move,Gottigere
Plot Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Mysore Road
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Ramakrishnappa Layout
Super built-up Area,Ready To Move,Manayata Tech Park
Built-up Area,Ready To Move,Kengeri
Super built-up Area,19-Dec,Binny Pete
Plot Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,18-Nov,Thanisandra
Super built-up Area,18-May,Mangammanapalya
Super built-up Area,Ready To Move,Electronic City
Built-up Area,20-Dec,Whitefield
Super built-up Area,17-Oct,Ramagondanahalli
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,19-Dec,Yelahanka
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Built-up Area,Ready To Move,Kasturi Nagar
Super built-up Area,21-Dec,Kanakpura Road
Super built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Kundalahalli
Super built-up Area,Ready To Move,Chikkalasandra
Built-up Area,Ready To Move,Uttarahalli
Built-up Area,Ready To Move,Murugeshpalya
Super built-up Area,19-Dec,Sarjapur Road
Super built-up Area,Ready To Move,Ganga Nagar
Plot Area,Ready To Move,Yelahanka
Super built-up Area,19-Sep,Kanakpura Road
Plot Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Doddathoguru
Super built-up Area,20-Sep,Whitefield
Plot Area,Ready To Move,KR Puram
Built-up Area,Ready To Move,Himagiri Meadows
Super built-up Area,Ready To Move,Adarsh Nagar
Super built-up Area,18-Mar,Bhoganhalli
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Lakshminarayana Pura
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Begur Road
Built-up Area,20-Feb,Devanahalli
Super built-up Area,Ready To Move,Ramakrishnappa Layout
Plot Area,Ready To Move,Murugeshpalya
Super built-up Area,Ready To Move,Govindaraja Nagar Ward
Plot Area,Ready To Move,Tharabanahalli
Super built-up Area,Ready To Move,Ganga Nagar
Plot Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Varthur
Built-up Area,Ready To Move,Bommanahalli
Super built-up Area,Ready To Move,Doddathoguru
Super built-up Area,18-Apr,Gunjur
Super built-up Area,Ready To Move,Marathahalli
Plot Area,Ready To Move,Devarachikkanahalli
Super built-up Area,Ready To Move,Kanakpura Road
Plot Area,Ready To Move,Double Road
Super built-up Area,20-Aug,Begur Road
Super built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,18-Apr,Haralur Road
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Kothannur
Super built-up Area,Ready To Move,Kalena Agrahara
Built-up Area,Ready To Move,Cholanayakanahalli
Built-up Area,Ready To Move,Kaval Byrasandra
Built-up Area,Ready To Move,ISRO Layout
Super built-up Area,Ready To Move,Kodanda Reddy Layout
Built-up Area,18-Oct,Hennur Road
Super built-up Area,19-Mar,Yelahanka
Super built-up Area,Ready To Move,Garudachar Palya
Super built-up Area,Ready To Move,EPIP Zone
Built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,17-Sep,Dasanapura
Super built-up Area,Ready To Move,Kasavanhalli
Plot Area,Ready To Move,Rajaji Nagar
Built-up Area,Ready To Move,Sanjay nagar
Super built-up Area,18-Dec,Electronic City
Super built-up Area,Ready To Move,Mysore Highway
Plot Area,Ready To Move,ISRO Layout
Super built-up Area,17-Aug,Thanisandra
Super built-up Area,Ready To Move,Domlur
Plot Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,Sarjapura - Attibele Road
Built-up Area,Ready To Move,Devasthanagalu
Built-up Area,Ready To Move,T Dasarahalli
Super built-up Area,Ready To Move,Yeshwanthpur
Built-up Area,Ready To Move,Chandapura
Plot Area,Ready To Move,Kothanur
Super built-up Area,Ready To Move,Green View Layout
Super built-up Area,Ready To Move,Shantiniketan Layout
Super built-up Area,Ready To Move,Peenya
Built-up Area,Ready To Move,Nagarbhavi
Built-up Area,Ready To Move,Rajaji Nagar
Built-up Area,Ready To Move,Jalahalli West
Super built-up Area,19-Apr,Devanahalli
Super built-up Area,Ready To Move,Lakshmiamma Garden
